-0.17988798	-0.12507378	-0.21234911	-0.25138034
-0.17988006	-0.12507419	-0.21231837	-0.25137022
-0.17995237	-0.12512955	-0.21233358	-0.25137387
-0.17992782	-0.12512787	-0.21232509	-0.25136006
-0.17994124	-0.12512022	-0.21231822	-0.25136389
-0.17993189	-0.12511938	-0.21234008	-0.25135883
-0.17992975	-0.12510965	-0.21233344	-0.2513477
-0.17992081	-0.12510344	-0.21235655	-0.25135194
-0.17991838	-0.1250986	-0.21232723	-0.25133867
-0.17990861	-0.12509531	-0.21235091	-0.25134237
-0.17990599	-0.12508606	-0.21237172	-0.25133655
-0.17989682	-0.12508342	-0.21233618	-0.25135158
-0.17989391	-0.12508287	-0.21232737	-0.25137693
-0.17988623	-0.12507392	-0.21232019	-0.25138135
-0.17987926	-0.12512773	-0.21235129	-0.25136789
-0.17994936	-0.12512999	-0.21234257	-0.2513893
-0.17994079	-0.12512056	-0.21234013	-0.25136613
-0.17993805	-0.12511816	-0.2123155	-0.25139589
-0.17992912	-0.12510861	-0.21231429	-0.25136055
-0.17992543	-0.12510687	-0.21233468	-0.251398
-0.17991703	-0.12510292	-0.21235275	-0.25136899
-0.17991436	-0.12509707	-0.21234201	-0.25139505
-0.17990542	-0.1250967	-0.21235194	-0.25137479
-0.17990215	-0.12508101	-0.2123825	-0.25138929
-0.17989399	-0.12507969	-0.21234195	-0.25137726
-0.17989072	-0.12507622	-0.21231397	-0.25137871
-0.17988262	-0.12506763	-0.21233872	-0.25137562
-0.1799476	-0.1251265	-0.21233203	-0.25135483
-0.1799448	-0.12512816	-0.21234399	-0.25141278
-0.17993665	-0.12511927	-0.21233014	-0.25141935
-0.17993236	-0.1251152	-0.21236308	-0.25140643
-0.17992611	-0.12511394	-0.21235832	-0.25140746
-0.17992165	-0.12510445	-0.21232907	-0.25140425
-0.17991581	-0.12510265	-0.21232929	-0.25139294
-0.17990801	-0.1250878	-0.21235025	-0.25139832
-0.17990528	-0.12508534	-0.21231819	-0.25138695
-0.17989801	-0.12508199	-0.21234631	-0.25138815
-0.17989432	-0.12507661	-0.21232522	-0.2513853
-0.17988473	-0.12507106	-0.21234526	-0.25137262
-0.1799509	-0.12513584	-0.21233865	-0.25137818
-0.179949	-0.1251273	-0.21233216	-0.25136579
-0.17993923	-0.12511805	-0.21231718	-0.25136646
-0.17993912	-0.12511792	-0.21234467	-0.25136314
-0.17992929	-0.12511326	-0.21236331	-0.25137388
-0.17992775	-0.12510949	-0.21233557	-0.25139982
